YORF	NAME	GWEIGHT	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YGL114W	YGL114W             unknown                       unknown; similar to S. pombe isp4 protein, meS0003082	1	-0.36	-0.10	-0.14	-0.06	-0.45	 0.12	-0.09	 0.15	 0.14	 0.23	-0.09	-0.17	-0.10	-0.23	-0.07	 0.10	-0.03	-0.04	-0.04	-0.18	-0.29	 0.01	 0.10	 0.24	 0.63	 0.32	 0.66	 0.16	 0.07	 0.03	-0.04	 0.29	 0.40	-0.27	 0.21	 0.03	 0.42	 0.10	 0.48	 0.19	-0.14	-0.23	-0.25	-0.14	 0.75	 0.59	 0.49	 0.29	 0.39	 0.46	 0.51	 0.04	 0.40	 0.43	 0.01	 0.16	 0.55	-0.71	-0.62	-0.32	-0.07	 0.41	 0.14	-0.47	-1.00	-0.58	-0.60	 0.46	-0.51	 0.20	 0.03	-0.12	-0.76	-0.06	-0.06	 0.64	 0.07	-0.25	 0.38	-0.15
YFL062W	YFL062W   COS4      unknown                       unknown; similar to subtelomerically-encoded S0001832	1	-0.09	 0.36	 0.48	 0.62	 0.43	 0.32	 0.01	 0.08	 0.10	 0.33	 0.43	 0.37	 0.39	 0.08	 0.32	 0.23	-0.01	 0.03	 0.15	 0.07	 0.23	-0.89	 1.14	-0.27	-0.30	-0.22	 0.93	 0.54	 0.15	 1.11	 0.49	 1.40	 1.46	 0.50	 1.06	-0.06	 0.97	-0.18	 0.72	 0.93	 0.06	-0.09	 0.19	 0.59	 0.71	 0.74	 0.01	-0.07	 0.20	 0.37	 0.41	 0.10	-0.10	 0.32	 0.15	 0.45	 0.24	 0.08	-0.06	 0.01	 0.15	 1.08	 0.84	 0.65	 0.16	-0.18	-0.84	 0.44	-0.58	-1.74	 1.76	 1.61	-0.49	 0.16	 0.33	 0.75	 0.66	 0.64	 0.86	 0.06
YCLX12W	YCLX12W	1	 0.12	-1.32	-0.06	-0.14	-0.10	 0.14	 0.03	 0.12	 0.26	-0.12	 0.30	 0.06	 0.15	 0.07	 0.01	 0.16	-0.06	 0.11	-0.15	-0.43	-0.04	-0.04	 0.42	-0.38	 1.35	 0.07	-0.03	 0.16	-0.18	-0.10	 0.19	 0.34	 0.31	-0.01	 0.91	-0.09	 0.26	 0.16	 0.71	 1.32	-0.30	-0.45	-0.30	 0.15	-0.03	 0.06	-0.34	-0.23	-0.18	 0.15	 0.12	-0.10	 0.19	 0.03	 0.04	 0.07	 0.06	-0.25	 0.83	 0.01	-0.14	 0.55	 0.30	 0.30	 0.32	 0.42	 0.18	 0.08	-0.30	-0.51	 0.59	 1.57	 0.58	 0.11	 0.32	 0.34	-0.09	-0.49	 0.07	-0.25
YJR010W	YJR010W   MET3      methionine biosynthesis       sulfate adenylyltransferase                  S0003771	1	 0.34	 0.00	 0.31	-0.04	 0.11	 0.53	 1.08	 0.96	 1.01	-0.15	 0.61	-0.25	-0.10	-0.29	 0.42	 0.76	 0.06	-0.01	-0.29	-0.67	 0.07	 0.99	 1.79	 0.38	-0.23	-0.42	-0.38	 0.30	-0.23	-0.45	 0.19	 0.64	 1.00	 0.67	 0.79	 0.33	 0.53	 0.28	 0.10	 0.66	 0.11	 0.31	 0.31	-0.79	 0.44	 0.30	-0.32	-0.30	-0.40	-0.60	-0.47	-0.23	-0.43	-0.43	-0.32	-0.30	-0.47	-0.20	-0.45	-0.84	-0.04	 2.34	 0.06	-0.58	-0.64	-1.25	-1.09	 0.43	-0.76	-0.45	 0.75	-0.12	 0.76	 0.00	 0.07	 0.15	-0.36	-0.51	-0.36	-0.56
YHR052W	YHR052W             unknown                       unknown                                      S0001094	1	-0.27	-1.40	-0.79	-0.84	-0.67	-0.34	-0.42		 0.01	 0.15	 0.01	-0.18	-0.17	-0.49	-0.69	-0.09	-0.54	-0.12	 1.06	 1.28	 0.72	 0.06	-0.29	 0.03	 0.30	 0.07	-0.30	 0.39	-0.29	-0.10	-0.07	-0.54	-0.42	-0.03	 0.00	 0.28	-0.38	 0.10	-0.18	-0.12	 0.16	-0.40	-0.07	-1.25	 0.36	-0.15	 0.55	 0.79	 0.54	-0.03	-0.01	-0.30	 0.10	-0.12	-0.84	-0.67	-0.29	-0.81	 0.28	-0.47	-0.20	-0.36	-0.58	-0.45	-0.23	-0.14	-0.20	 1.24	 0.18	 0.55	 0.06	-0.56	 0.16	 0.10	-0.12	-0.15	-0.86	-0.69	-1.47	-1.69
YKL182W	YKL182W   FAS1      fatty acid metabolism         fatty-acyl-CoA synthase, beta subunit        S0001665	1	 0.03	-0.67	-0.51	-0.94	-0.94	-1.18	-1.06	-1.36	-1.12	-1.00	-0.56	-0.12	-0.17	-0.23	-0.14	-0.14	-0.84	-0.74																										-1.29	 0.40	-0.23	-0.86	-0.49	-0.30	-0.29	-0.38	 0.10	 0.12	-0.25	 0.32	-0.51	-0.06	 0.69	-0.42	 0.00	-0.49	-0.40	-0.42	-0.49	-0.97	-0.56	-0.60	 0.04	-0.27	-0.62	-0.89	-1.32	-0.86	 0.15	 0.10	-0.04	-0.27	-0.36	-0.18	-0.38
YHR125W	YHR125W             unknown                       unknown                                      S0001167	1	-0.34	-0.07	 0.23	-0.49	 0.04	 0.08	-0.32	 0.06	-0.01	 0.12	-0.79	-0.38	 0.21	-0.20	 0.44	-0.23	-0.29	-0.07	-1.32	-0.20	-0.47	-0.81	 0.24	-1.00	 1.13	-0.84	 0.49	-0.14	-0.92	-0.34	-0.81	-0.18	-1.12	-0.92	 0.83	-1.43	 0.60	-0.71	 0.48	 1.43	-1.09	-0.74	-1.09	-0.18	-0.89	 0.03	 0.10	-0.54	-0.40	-0.45	-1.15	-1.03	-1.29	-0.43	-1.03	-1.25	-0.69	-0.71		-0.12	 0.11	-0.03	-0.25	-0.34	-0.22	-0.25	-0.25	 0.06	-0.01	 0.04	 0.29	 0.36	 0.24	-0.15	-0.30	-0.25	-0.01	-0.10	 0.34	 0.45
YHL021C	YHL021C             unknown                       unknown                                      S0001013	1	 0.46	 1.33	 1.42	 0.52	-0.30	-0.25	-0.14	-0.18	-0.15	 0.11	 0.07	 0.07	-0.04	-0.36	-0.07	-0.38	 0.19	-0.15	-0.74	-1.15	-0.67	-0.47	-0.17	-0.22	-0.32	-0.03	-0.09	 1.27	 0.12	 0.21	-0.01	-0.20	 0.10	 0.87	 0.78	 0.00	 0.77	 0.29	 0.80	 1.22	 0.94	 1.27	 1.55	 1.63	 0.08	-0.14	-0.03	-1.09	-0.94	-0.71	-0.38	-0.12	-0.84	-0.18	 0.58	 0.48	 0.45	 0.42	 0.21	 0.33	-0.17	 0.06	-1.64	-2.74	-3.32	-3.47	-3.47	 0.96	-1.18	-0.76	-1.29	-2.00	 0.51	-0.45	 0.12	 0.65	 0.99	 0.80	 2.98	 2.51
YGR219W	YGR219W             unknown                       unknown                                      S0003451	1	-0.01	-0.15	 0.18	 0.15	 0.08	-0.42	 0.20	-0.47	-0.12	-0.10	 0.01	 0.01	-0.10	-0.34	-0.17	-0.29	-0.07	-0.20	 0.54	 0.32	 0.06	-0.29	-0.60	-0.01	 0.04	 0.21	-0.09	 0.00	 0.71	 0.29	 0.59	 0.03	-0.01	 0.43	-0.34	 0.06	-0.25	 0.31		 0.41	 0.77	 0.61	 0.73	-0.23	-0.60	-0.43	-0.01	-0.23	 0.15	-0.22	 0.38	 0.23	-0.04	 0.10	-0.06	 0.25	 0.08	-0.49	-0.12	-0.15	-0.47	-0.94	-0.58	-0.56	-0.47	-0.58	-0.74	-0.27	-0.23	-0.23	-0.43	-0.30	-0.51	-0.09	-0.25	-0.06	 0.12	 0.16	 0.82	 0.24
YGL042C	YGL042C             unknown                       unknown; similar to rat Na+/Ca++ exchanger NCS0003010	1	-0.45	-0.04	-0.27	-0.01	-0.32	 0.23	-0.20	 0.14	 0.12	 0.15	 0.11	 0.00	-0.10	-0.12	-0.25	 0.14	-0.07	-0.04	-0.36	-0.32	-0.45	-0.45	-0.40	-0.47	-0.67	-0.51	 2.30	 0.29	-0.45	-0.40	-0.51	-0.29	-0.40	-0.27	-0.18	-0.27	-0.69	-0.29	-0.60	-0.38	-0.18	-0.38	-0.09	 0.21	 0.28	 0.16	-0.15	 0.14	 0.19	 0.23	 0.03	-0.17	 0.03	 0.26	 0.12	-0.10	 0.20	-0.92	-0.49	-0.09	-0.01	-1.06	-0.40	-0.84	-1.09	-0.69	-0.47	 0.16	-0.27	 0.21	-0.64	-0.58	 0.26	-0.04	-0.01	 0.23	-0.17	-0.04	-0.51	-1.18
YDR492W	YDR492W             unknown                       unknown                                      S0002900	1	 0.00			-1.36		-1.03	-0.32	-0.69	-0.32	-0.20	-0.30	-0.29	 0.20	-0.58	-0.74	-0.79	-0.27	-0.29																										 0.59	-0.03	-0.58	-0.51	-0.15	-0.36	-0.45	-0.43	-0.18	 0.15	-0.09	-0.22	-0.62	-0.25	-0.40	-0.23	-0.27	-0.45	-0.89	-1.36	-1.06	-1.60	-1.25	-1.32	-0.23	-0.81	-0.64	-0.54	-0.56	-0.58	 0.10	 0.24	 0.41	-0.42	-0.56	-1.09	-1.25
YOR203W	YOR203W             unknown                       unknown                                      S0005729	1	-0.15	 0.42	 0.32	 0.10	-0.04	 0.19	-0.01	 0.01	-0.32	-0.42	-0.30	-0.58	-0.30	-0.42	-0.20	-0.47	 0.25	-0.18	-0.49	-0.42	-0.60	-0.60	-0.03	-0.43	 0.07	-0.54	 0.01	-0.15	-0.76	-0.79	 0.12	-0.15	-0.84	-0.49	 0.21	-0.76	-0.23	-0.49	 0.37	 0.61	-0.97	-0.58	-0.30	-0.58	-0.40	-0.12	-0.36	 0.04	-0.25	-0.18	-0.27	-0.18	-0.40	 0.01	-0.43	-0.60	-0.40	 0.96	 0.57	-1.18	-0.60	-0.07	 0.41		 0.10	 0.01	-0.18	-0.06	-0.15	-0.25	-0.60	-0.86	-0.62	-0.27	-0.29	-0.07	-0.27	 0.07	-1.15	-0.94
YCR006C	YCR006C             unknown                       unknown                                      S0000599	1	 0.04	-0.62	-0.15	-0.58	-0.36	-0.23	 0.01	 0.07	-0.18	-0.27	-0.23	-0.20	-0.14	-0.30	-0.34	-0.51	-0.29	-0.23	-0.06	-0.09	-0.51	 0.00	 0.08	-0.23	-0.17	-0.23	-0.04	-0.40	-0.17	-0.22	 0.18	-0.18	-1.51	-0.10	-0.36	-0.54	 0.18	-0.40	 0.20	 0.39	-0.01	-0.17	-0.38	-0.12	-0.17	-0.29	-0.34	-0.23	-0.27	-0.32	-0.20	-0.43	-0.30	-0.27	-0.34	-0.45	-0.18	 0.10	 0.89	-0.38	-0.36	 0.75	 0.19	-0.43	-0.40	 0.03	-0.51	-0.07	-0.34	 0.06	 0.32	-0.74	 0.15	-0.43	-0.34	-0.23	-0.38	-0.32	 0.18	 0.32
YER188W	YER188W             unknown                       unknown                                      S0000990	1	 0.34	 0.12	 0.24	-0.01	 0.03	 0.00	-0.47	-0.22	-0.09	-0.38	 0.30	 0.12	-0.04	-0.07	-0.12	 0.25	-0.45	-0.09	-0.54	 0.15	-0.22	-2.00	 0.08	-0.45	 0.62		 0.75	 0.25	-0.25	 0.03		 0.19	-0.12	-0.03	 0.46	-1.12	 0.37	-0.51	 0.90		-1.47	-0.58	-0.71	-0.54	-0.64	 0.44	-0.49	-0.12	-0.23	 0.15	 0.01	-0.15	-0.25	 0.08	-0.06	-0.45	 0.01	 0.88	 2.04	-0.15	-0.42	-0.60	-0.30	-0.47	-0.67	 0.01	-0.20	 0.20	 0.00	 0.50	-0.12	-0.30	 2.58	-0.27	 0.15	 0.16	-0.06	-0.09	 0.78	 0.04
YNL120C	YNL120C             unknown                       unknown                                      S0005064	1	-0.06	-1.18	-0.54	-0.76	 0.06	-0.32	 0.14	-0.43	-0.18	-0.43	-0.36	-0.62	-0.22	-0.62	-0.27	-0.42	-0.07	-0.42		-0.04	 0.11	-0.42		-0.54		-0.42					 0.62			-0.40	 0.61	-1.47	 0.55		 0.46		-0.94	 0.21	-0.38	-0.74	-0.69	-0.60	-0.40	 0.04	-0.25	-0.27	-0.38	-0.47	-0.34	-0.49	-0.71	-1.09	-0.71	-0.12	 0.53	-0.49	-0.64	-1.18	-0.62		-0.47	-0.18	-0.47	-0.97	-0.62	-0.47	-1.29	-0.81	-0.89	-0.14	-0.17	-0.29	-0.69	-0.74	-1.60	-1.29
YMR172W	YMR172W   HOT1      osmotic stress response (putatunknown; nuclear protein; similar to Msn1p   S0004783	1	-0.22	-0.43	-0.18	-0.45	-0.25	-0.30	 0.03	-0.32	-0.09	-0.38	-0.27	-0.40	-0.22	-0.49	 0.14	-0.03	-0.01	-0.04																										-0.51	-0.15	-0.47	-0.14	 0.12	-0.36	-0.32	-0.45	 0.08	-0.01	-0.40	-0.15	-1.18	-0.17	 0.31	 0.70	-0.84	-0.58	 0.38	 0.63	 1.16	 1.80	 1.59	 1.34	-0.58	-0.01	-0.14	 1.38	 1.62	-0.04	-0.40	-0.29	-0.36	-0.60	-0.54	-0.56	-0.03
YBR027C	YBR027C             unknown                       unknown                                      S0000231	1	-0.38	-0.42	-0.30	-0.09	-0.25	-0.23	-0.10	 0.12	-0.32	-0.20	-0.43	 0.07	-0.01	-0.12	-0.54	 0.14	-0.25	-0.03	 0.00	 0.10	-0.09		 0.48	-0.92	 0.95		 0.32	 0.19	-0.62	-0.49		 0.08		-0.06	 0.85		 0.36	 0.00	 0.49		-1.25	-0.20	-1.00	-0.42	-0.34	 0.16	-0.58	-0.36	-0.29	-0.23	-0.32	-0.22	-0.25	-0.18	-0.42	-0.04	-0.38	-0.23		-0.30	 0.04	-0.45	-0.07	-0.51		-1.03	-0.86	 0.43	-0.79	-0.79	-0.30	-0.74	 0.16	 0.03	-0.01	 0.04	-0.10	-0.51	-0.23	 0.21
YMR245W	YMR245W             unknown                       unknown                                      S0004859	1	-0.10	-0.20	-0.42	-0.89	-0.29	-0.54	-0.14	-0.34	-0.23	-0.42	-0.47	-0.47	-0.36	-0.49	-0.71	-0.56	-0.14	-0.38	-0.25	-0.09	-0.62	 0.41	 0.32	-0.42	 0.95	-0.25	 0.28	 0.46	-0.03	-0.17	 1.62	 0.04	-0.54	 0.46	 0.88	-2.12	-0.14	-0.09	 0.80		-0.94	 0.15	-0.40	-0.25	-0.45	-0.25	-0.42	 0.07	-0.09	-0.27	 0.06	 0.10	-0.14	 0.23	 0.07	 0.18	-0.89	-0.36	 0.56	-0.15	-0.30	-0.01	-0.67	-0.76	-0.94	-1.15	-1.32	 0.11	-0.38	-0.30	-0.20	 0.21	-0.12	-0.29	-0.34	 0.08	-0.30	-0.12	 0.31	
YJR011C	YJR011C             unknown                       unknown                                      S0003772	1	-0.40	 0.58	-0.36	-0.36	-0.54	-0.23	-0.27	-0.23	-0.15	-0.40	-0.51	-0.51	-0.25	-0.79	-0.84	-0.23	-0.58	-0.34	-0.47	 0.00	 0.29	 0.30	 0.20	-1.18	 0.40	-0.12	-0.27	 0.34	 0.03	 0.01	-0.01	 0.46	-0.36	 0.79	 0.99	-0.10	 0.25	-0.14	 0.06	 0.28	-0.30	-0.10	-0.06	 0.24	-0.04	 0.43	-0.79	-0.42	-0.29	 0.19	-0.49	-0.79	-0.45	-0.07	-0.06	 0.18	-0.23	-0.34	 0.39	-0.18	-0.20	 0.53	 0.19	-0.01	 0.12	-0.18	-0.29	-0.09	-0.01	-0.97	 1.20	 0.48	 0.14	 0.21	-0.56	 0.15	 0.01	-0.51	 0.78	 0.00
YIR032C	YIR032C   DAL3      purine metabolism             ureidoglycolate hydrolase                    S0001471	1	 0.01	-0.14	-0.25	-0.76	-0.81	-0.56	-0.64	-0.14	-0.56	-0.09	-0.03	 0.00	-0.12	-0.17	-0.18	-0.10	-0.81	-0.49	-0.58	-0.42	-0.64	-0.10	 0.82	 0.32	 0.89	 0.31	 0.19	 0.48	 0.11	 0.25	 0.15	 0.70	-0.07	 0.71	 0.99	 0.41	 0.86	 0.33	 0.85	 1.05	 0.38	 0.61	 0.53	-0.79	-0.67	-0.36	-0.40	-0.15	-0.43	-0.47	-0.01	-0.27	-0.40	-0.47	-0.12	-0.45	-0.14	-0.15	 0.92	-0.84	-0.49	 2.14	 1.51	-0.15	-0.12	-0.42	-0.54	 2.20	-0.40	-0.45	 1.91	-0.54	-1.47	 0.03	-0.17	 0.25	 0.03	-0.07	 0.77	 0.28
YHR053C	YHR053C   CUP1-1    Cu2+ ion homeostasis          metallothionein                              S0001095	1	-0.27	-0.27	-0.32	-0.36	-0.51	-0.56	-0.74	-0.43	-0.60	-0.74	-0.40	-0.54	-0.14	-0.40	-0.06	-0.36	-0.92	-1.00	-0.47	 0.62	 0.84	-0.09	 0.10	-0.04	 0.30	 0.23	 0.07	 1.14	 1.38	 1.26	 1.47	 0.90	 0.83	 1.23	 0.91	 1.79	 0.74	 1.60	 0.24	 0.70	 2.62	 2.32	 2.72	 4.17	 1.99	-0.23	-0.47	-1.00	-1.00	-1.12	-0.94	-0.94	-0.97	-0.92	-0.67	-0.30	-0.54	-0.20	 0.65	 0.11	-0.01	 2.89	-0.29	-0.38	 0.93	 1.18	 0.73	 0.31	 1.61	 1.06	-0.34	 0.93	 0.43	 0.21	-0.40	-0.09	-0.45	-0.18	-0.01	 1.29
YHR126C	YHR126C             unknown                       unknown; similar to members of the Pir1p/Hsp1S0001168	1	 0.15	 0.07	 0.34	-0.18	-0.29	-0.43	-0.36	-0.03	-0.23	 0.15	 0.81	 0.30	 0.24	-0.32	-0.18	-0.10	-0.45	-0.03	 0.38	 0.70	-0.58	-0.92	 0.44	-0.69	 1.09	-0.32	 0.46	 0.31	 0.01	-0.23	 0.39	-0.22	-0.97	-0.60	 0.99	-1.74	 0.93	-0.43	 0.86		-0.47	-0.62	-0.84	-0.51	-0.84	-0.86	-0.42	 0.41	 0.52	 0.59	 0.01	-0.38	-0.56	 0.01	-0.62	-0.23	-0.25	-0.36	 2.20	-0.17	-0.01	-0.38	-0.45	-0.03	 0.12	-0.09	 0.01	-0.74	-0.12	-0.42	 0.44	 0.70	 2.94	-0.30	-0.10	 0.12	-0.29	-0.42	 0.18	 0.10
YPR110C	YPR110C   RPC40     transcription                 RNA polymerase III 40 kD subunit             S0006314	1	-0.01	-0.74	-0.51	-0.43	-0.22	 0.20	 0.08	 0.06	 0.20	-0.12	 0.11	-0.34	-0.10	-0.38	 0.15	-0.38	 0.32	-0.04	 0.64	 0.61	 0.44	 0.18	 0.06	 0.33	 0.25	 0.28	-0.14	-0.29	 0.32	-0.36	 0.16	-0.76	-0.01	-0.20	-0.67	 0.20	-0.17	 0.25	-0.62	-0.67	 0.08	-0.25	-0.10	-0.60	-0.36	-0.09	 0.42	 0.43	 0.33	 0.19	-0.09	-0.54	-0.34	 0.03	-0.69	-0.84	-0.36	-1.03	 1.78	-0.69	-0.25	-1.94	-1.22	-0.43	 0.25	 0.74	 0.45	-1.00	 0.31	 0.43	-2.25	-1.36	 0.24	 0.30	 0.31	 0.14	-0.69	-0.67	-1.29	-1.56
YGR147C	YGR147C   NAT2      protein processing            N-acetyltransferase for N-terminal methionineS0003379	1	 0.15	-0.60	-0.01	-0.03	 0.11	-0.04	 0.42	 0.07	 0.12	-0.03	-0.12	-0.17	 0.19	 0.08	 0.04	-0.09	 0.30	 0.01	 0.37	 0.19	 0.07	 0.07	-0.62	 0.21	-0.23	 0.14	-0.69	-0.18	 0.46	-0.34	 0.25	-0.92	 0.23	-0.06	 0.28	 0.46	 0.08	 0.37	 0.07	-0.07	 0.52	 0.24	 0.43	 0.07	-0.17	-0.23	-0.07	 0.20	 0.15	 0.01	 0.32	-0.01	 0.24	 0.11	 0.11	 0.03	 0.28	-0.56	-0.86	-0.25	-0.22	-1.18	-0.94	-1.36	-1.60	-1.36	-1.40	 0.04	-0.51	 0.16	-1.47	-1.84	-0.62	-0.20	-0.01	 0.21	 0.04	-0.17	 0.52	-0.14
YOR131C	YOR131C             unknown                       unknown; similar to E. coli protein yhfE geneS0005657	1	-0.07	-0.14	 0.48	 0.23	 0.06	-0.56	-0.15	-0.12	-0.18	-0.29	-0.49	-0.17	-0.12	-0.67	-0.17	-0.07	-0.20	 0.07	-0.30	-0.01	 0.10	-0.30	-0.25	-0.17	-0.60	-0.04	-0.42	 0.37	 0.29	 0.01	 0.58	-0.14	-1.06	 0.31	 0.31	-0.10	-0.25	-0.03	-0.15	 0.01	 0.32	 0.37	 0.69	 0.16	-0.84	-0.56	-0.54	-0.23	-0.94	-0.43	-0.32	-0.42	-0.60	-0.64	-0.40	-0.69	-0.69	 0.60	 0.69	-0.43	-0.06	-0.22	 0.04	-0.54	-0.79	-0.81	-1.09	 0.46	-0.38	-1.36	-0.03	-0.18	-0.47	-0.06	 0.03	 0.32	 0.00	 0.33	 0.76	 0.45
YAL016W	YAL016W   TPD3      tRNA biosynthesis, cytokinesisprotein phosphatase (PP2A regulatory subunit)S0000014	1	-0.20	-0.25	-0.09	-0.40	-0.25	-0.49	-0.10	-1.60	-0.10	-0.20	-0.25	-0.07	-0.17	-0.20	-0.07	-0.12	 0.04	-0.09	 0.03	 0.01	 0.01	 0.15	-0.23	 0.01	-0.86	 0.06	-0.29	-0.47	 0.15	-0.22	 0.03	-0.18	 0.12	-0.01	-0.30	-0.03	-0.29	-0.10	-0.40	-0.47	 0.11	 0.00	 0.07	 0.72	-0.56	-0.54	-0.06	-0.64	-0.49	-0.07	-0.20	 0.34	 0.06	-0.49	 0.31	 0.03	 0.12	-0.42	-0.94	 0.01	-0.01	-0.04	-0.79	-1.18	-2.00	-0.81	-1.32	 0.39	-0.86	-0.56	-0.42	-0.97	-0.01	 0.15	 0.08	 0.15	-0.07	-0.17	 0.43	-0.09
YMR319C	YMR319C   FET4      transport                     iron transporter                             S0004938	1	-0.25	-0.84	-0.38	-0.89	-0.18	-0.40	 0.01	-0.42	-0.12	-0.27	 0.12	-0.36	-0.17	-0.18	 0.40	-0.14	 0.07	-0.45																										-0.38	-0.69	-0.43	-0.51	-0.32	-1.03	-0.74	-0.47	-0.25	-0.38	-0.56	-0.49	-0.64	-0.51	-0.40	 0.29	-0.92	-0.62	-2.40	-1.15	-0.47	-1.36	-1.22	-1.36	-0.67	-1.12	-1.36	-0.42	-1.51	-2.32	-0.14	 0.01	-0.23	-0.56	-0.12	-0.69	-0.94
YLR194C	YLR194C             unknown                       unknown                                      S0004184	1	 0.67	-0.20	-1.40	-1.25	-1.18	-0.84	-0.86	-1.32	-0.64	 0.80	 1.08	 0.53	-0.10	-0.56	-1.06	-0.58	-0.67	-0.42	 2.27	 2.50	 2.61	 0.70	 0.12	-0.03	-0.32	-0.04	 0.48	 0.34	 1.48	 1.46	 1.61	 0.64	 0.99	 0.68	 0.65	-0.32	-0.36	-0.43	-0.32	 1.01	 1.20	 0.90	 0.74	-0.94	 0.11	 0.07	-0.10	-0.60	-0.79	-0.14	-0.04	-0.10	 0.34	 0.30	 0.69	 1.08	 0.33	-0.81	-0.32	-1.40	-0.03	-3.06	-3.64	-4.06	-4.06	-3.06	-3.47	 1.58	-0.03	 0.37	-2.84	-5.06	-0.14	-0.17	-0.36	-0.17	-0.25	-0.56	-0.22	-0.89
YGL115W	YGL115W   SNF4      glucose derepression          component of Snf1 complex                    S0003083	1	 0.19	-0.18	 0.07	 0.25	 0.07	 0.31	 0.03	 0.24	 0.14	-0.27	 0.26	 0.28	 0.19	 0.18	 0.21	 0.28	 0.04	 0.01	 0.08	-0.06	-0.04	 0.21	 0.14	 0.20	 0.08	 0.18	 0.08	 0.26	 0.25	 0.01	 0.29	 0.11	 0.38	 0.36	-0.23	 0.32	-0.17	 0.31	 0.07	-0.62	 0.28	 0.11	 0.34	 0.50	 0.10	 0.37	 0.54	 0.06	 0.25	 0.32	-0.04	-0.36	-0.23	 0.12	-0.18	-0.30	-0.07	-0.04	-0.14	-0.06	 0.06	-0.38	-0.18	-0.40	-0.69	-0.79	-0.81	 0.15	-0.18	-0.42	-0.32	-0.20	-0.17	 0.26	-0.07	 0.42	 0.15	-0.23	 0.48	-0.17
YFL063W	YFL063W             unknown                       unknown; similar to Gin11p and Ykl225p       S0001831	1	-0.42	 0.20	 0.31	 0.07	-0.40	-0.22	-0.47	-0.20	-0.18	-0.45	 0.04	 0.07	 0.04	-0.32	-0.18	-0.10	-0.34	-0.30	-0.15			-0.07	 0.46	-0.79	 1.01		 0.10	 0.19	-0.25	-0.15	 0.46	 0.79	-0.81	-0.34	 0.86	-1.06	 0.26	-0.74	 0.92		-0.62	-0.09	-0.43	-0.51	-0.42	-0.04	 0.16	-0.17	-0.18	-0.03	-0.04	-0.43	-0.03	-0.03	-0.07	-0.45	 0.03	 0.53	 0.57	 0.07	-0.03	-0.27	 0.57	 0.65	 0.62	 0.68	 0.57	-0.14	-0.01	-0.40	 0.37	 0.56	 0.57	-0.09	 0.64	 0.34	-0.07	-0.49	-0.10	 0.26
